Altium Designer Pick and Place Locations
C:\Users\atrus\Dropbox\elec\pr\blueacro\power\dcbuddy\dcbuddy_v2\dcbuddy_v2\Project Outputs for dcbuddy_v2\Pick Place\Pick Place for dcb_v2.csv

========================================================================================================================
File Design Information:

Date:       24/05/24
Time:       12:27
Revision:   99b1e0f37bbdd4f2a6492926da96f1538f3614d3
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J300","M50-3630342R","TopLayer","FP-M50-3630342R-MFG","122.2500","33.2500","0","3 Pos. Male SIL Vertical SMT Conn. RoHS Compliant: Yes"
"C307","CAP 0.1uF 50V X7R 0603","TopLayer","FP-CL10-IPC_B","134.2500","32.5000","270","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R"
"C607","CAP 22uF 25V 1210 X7R","TopLayer","FP-1210-L_3_2_0_3-W_2_5_0-MFG","81.2500","49.2500","270","1210 22 uF 25 V ±20% Tolerance X7R Multilayer Ceramic Chip Capacitor"
"DISP800","OLED_1_3_CARRIERBOARD","TopLayer","OLED_1_3_CARRIERBOARD-Footprint-1","38.7600","42.4820","0","Use 4 pin header 0901471104 on board"
"SP300","WST-1212UX","TopLayer","WST-1212UX-Footprint-1","168.0000","28.5000","0","Audio Magnetic Xdcr 9-15V Th"
"Q302","NFET","TopLayer","SOT23-3","164.7576","36.5588","0",""
"D300","SS14","TopLayer","SMA","169.5000","36.2500","180",""
"R310","10K 0603 1%","TopLayer","RESC1608-IPC-ML","141.5598","32.1535","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"USR300","PTS526SK15SMTR2LFS","TopLayer","FP-PTS526SK15SMTR2LFS-MFG","89.7500","45.0000","0","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R"
"R309","10K 0603 1%","TopLayer","RESC1608-IPC-ML","111.2500","41.7500","180","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"U302","TCAN1044VDRQ1","TopLayer","FP-D0008A-IPC_B","128.5000","33.0000","180","R-PDSO-G8 TCAN1044 Tape & Reel (TR) CAN interface transceiver 100mV 4.905mm 5Mbps -40C~125C TA"
"R308","120R 1210 5%","TopLayer","RESC3225X70X50LL20T20","113.2500","33.5000","270","SMD Chip Resistor, 120 Ohm, ± 5%, 500 mW, 1210 [3225 Metric], Thick Film, General Purpose"
"C306","CAP 0.1uF 50V X7R 0603","TopLayer","FP-CL10-IPC_B","124.0000","37.2500","90","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R"
"J702","43045-1001","TopLayer","FP-43045-1001-MFG","5.8400","16.0000","270","Connector Wire to Board Header 10 Position 3 mm Solder Right Angle Thru-Hole Micro-Fit 3.0™"
