Comment,Description,Designator,Footprint,LibRef,Quantity

"PTS526SK15SMTR2LFS","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","BOOT300, RST300, USR300","FP-PTS526SK15SMTR2LFS-MFG","CMP-011-00015-1","3"
"CAP 1uF 10V X7R 0603","Cap Ceramic 1uF 10V X7R 10% SMD 0603 125C Paper T/R","C100, C302, C304","FP-CL10-IPC_B","CMP-001-00085-7","3"
"CAP 4.7uF 50V X7R 1210","CAP CER 4.7UF 50V X7R 1210","C200_A, C200_B, C200_C, C200_D, C200_E, C200_F, C200_G, C301, C605, C606","CAPC3225X20N","CMP-001-00083-3","10"
"CAP 0.1uF 50V X7R 0603","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R","C201_A, C201_B, C201_C, C201_D, C201_E, C201_F, C201_G, C202_A, C202_B, C202_C, C202_D, C202_E, C202_F, C202_G, C300, C303, C305, C306, C307, C401_X, C401_Y, C611","FP-CL10-IPC_B","CMP-001-00084-7","22"
"CAP 4.7uF 0603 6.3V X7R","Cap Ceramic 4.7uF 6.3V X7R 10% SMD 0603 125°C Paper T/R","C400_X, C400_Y, C603, C613, C614","FP-CL10-IPC_C","CMP-001-00101-4","5"
"CAP 2.2uF 0603 16V X6S","Cap Ceramic 2.2uF 16V X6S 10% Pad SMD 0603 105°C Low ESR T/R","C600","FP-C1608-080-0_1-IPC_A","CMP-001-00117-2","1"
"CAP 0.47uF 50V 0603","Multilayer Ceramic Capacitor, 0.47 uF, 50 V, ± 10%, X7R, 0603 [1608 Metric]","C601","FP-C1608-080-0_1-IPC_A","CMP-001-00116-2","1"
"CAP 0.47uF 1210 50V X7R","Multilayer Ceramic Capacitor, 0.47 uF, 50 V, ± 10%, X7R, 1210 [3225 Metric]","C602, C609","CAPC1210(3225)230_M","CMP-001-00128-1","2"
"CAP 10uF 1210 63V X7R","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 10uF 63volts *Derate Voltage/Temp","C604, C610","FP-GRM32E-0_2-0_3-MFG","CMP-001-00119-1","2"
"CAP 22uF 25V 1210 X7R","1210 22 uF 25 V ±20% Tolerance X7R Multilayer Ceramic Chip Capacitor","C607","FP-1210-L_3_2_0_3-W_2_5_0-MFG","CMP-001-00125-1","1"
"CAP 120uF 35V Poly 10mm","Cap Aluminum Polymer 120uF 35VDC 20%( 10 X 12.6mm) SMD 0.018 Ohm 4400mA 5000h 105C T/R","C608","FP-OS-CON-SMT-F12-MFG","CMP-001-00127-1","1"
"C0603C560J5GACTU","Multilayer Ceramic Capacitor, 56 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]","C612","FP-C0603C-CF-IPC_B","CMP-001-00126-1","1"
"CAP 56uF 63V Poly 10mm","Cap Aluminum 56uF 63V 20% (10 X 10.2mm) SMD 0.03 Ohm 1800mA 5000h 105 C Embossed T/R","C700","FP-FKG-MFG","CMP-001-00124-1","1"
"USBLC6-4SC6","ESD Suppressor 15KV 6-Pin SOT-23 T/R - Product that comes on tape, but is not reeled","D500","FP-SOT23-6L-MFG","CMP-004-00040-1","1"
"SS14","","D600, D601","SMA","CMP-080-0002-2","2"
"OLED_1_3_CARRIERBOARD","Use 4 pin header 0901471104 on board","DISP800","OLED_1_3_CARRIERBOARD-Footprint-1","CMP-00028-00008-2","1"
"PJ-0XX","2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Dc Power Jack Connector","J200_A, J200_B, J200_C, J200_D, J200_E, J200_F, J200_G, J701","CUI-PJ-002A_V","CMP-167-0003-2","8"
"M50-3630342R","3 Pos. Male SIL Vertical SMT Conn. RoHS Compliant: Yes","J300, J600","FP-M50-3630342R-MFG","CMP-002-00105-2","2"
"10155435-00011LF","16 Position 5 A USB Right Angle Receptacle Connector","J500","AMPHENOL_10155435-00011LF","CMP-243-000000-3","1"
"DIN4PWR","","J700","PD40S","CMP-167-0005-1","1"
"43045-1001","Connector Wire to Board Header 10 Position 3 mm Solder Right Angle Thru-Hole Micro-Fit 3.0™","J702","FP-43045-1001-MFG","CMP-002-00106-1","1"
"IHLP5050FDER100M01","Inductor Power Shielded Wirewound 10uH 20% 100KHz Powdered Iron 10A 17.2mOhm DCR 5050 T/R","L600","FP-IHLP-5050FD-FP_2_945x4-MFG","CMP-006-00033-1","1"
"SRN4018-4R7M","Ind Power Semi-Shielded Wirewound 4.7uH 20% 100KHz Ferrite 1.9A 1515 T/R","L601","FP-SRN4018-MFG","CMP-006-00036-2","1"
"LED_INDICATOR","","LED200_A, LED200_B, LED200_C, LED200_D, LED200_E, LED200_F, LED200_G, LED300, LED301","LED5MM","CMP-130-0003-6","9"
"NFET","","Q200_A, Q200_B, Q200_C, Q200_D, Q200_E, Q200_F, Q200_G, Q300, Q301","SOT23-3","CMP-094-0000-1","9"
"100k 0603 1%","SMD Chip Resistor, 100 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose, Res Thick Film 1.6 x 0.8 mm 100K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R100, R600, R604","RESC1608-IPC-LL","CMP-009-00222-1, CMP-009-00203-1","3"
"12k 0603 1%","SMD Chip Resistor, 12 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","R101","RESC1608X55X25LL10T15","CMP-009-00236-1","1"
"10K 0603 1%","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R200_A, R200_B, R200_C, R200_D, R200_E, R200_F, R200_G, R300, R301, R302, R303, R306, R307, R310","RESC1608-IPC-ML","CMP-009-00191-4","14"
"4.7k 0603 1%","RES SMD 4.7K OHM 1% 1/10W 0603","R201_A, R201_B, R201_C, R201_D, R201_E, R201_F, R201_G, R202_A, R202_B, R202_C, R202_D, R202_E, R202_F, R202_G, R205_A, R205_B, R205_C, R205_D, R205_E, R205_F, R205_G","RESC1608-IPC-ML","CMP-009-00205-1","21"
"RC0805FR-07470RL","SMD Chip Resistor, 470 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose","R203_A, R203_B, R203_C, R203_D, R203_E, R203_F, R203_G, R204_A, R204_B, R204_C, R204_D, R204_E, R204_F, R204_G","RESC2013X60X35LL10T20","CMP-009-00233-1","14"
"220R 0603 5%","YAGEO - RC0603JR-07220RL - SMD Chip Resistor, 0603 [1608 Metric], 220 ohm, RC Series, 75 V, Thick Film, 100 mW","R206_A, R206_B, R206_C, R206_D, R206_E, R206_F, R206_G, R304, R305","RESC1608-IPC-ML","CMP-009-00183-3","9"
"120R 1210 5%","SMD Chip Resistor, 120 Ohm, ± 5%, 500 mW, 1210 [3225 Metric], Thick Film, General Purpose","R308","RESC3225X70X50LL20T20","CMP-009-00240-1","1"
"AC0402FR-075K1L","SMD Chip Resistor, 5.1 kOhm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose","R500, R501","FP-AC0402-IPC_A","CMP-009-00234-1","2"
"97.6k 0603 1%","Res Thick Film 0603 97.6K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R602","RESC1608-IPC-LL","CMP-009-00223-1","1"
"9.09k 0603 1%","SMD Chip Resistor, 9.09 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","R603","RESC1608-IPC-LL","CMP-009-00221-1","1"
"22.1k 0603 0.1%","RES SMD 22.1KOHM 0.1% 1/10W 0603","R605","RESC1608-IPC-LL","CMP-009-00207-3","1"
"4.32k 0603 1%","SMD Chip Resistor, 4.32 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, Precision","R606","RESC1608X55X30LL15T15","CMP-009-00239-1","1"
"TPS1H100BQPWPRQ1","Current Limit SW 1-IN 1-OUT 5V to 40V 4A Automotive 14-Pin HTSSOP EP T/R","U200_A, U200_B, U200_C, U200_D, U200_E, U200_F, U200_G","FP-PWP0014C-IPC_C","CMP-024-00009-1","7"
